load_nm,condition,severity,severity_level,is_fault,file_id,vibration_path,current_temp_path,acoustic_path
0,BPFI,03,1,True,0Nm_BPFI_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_BPFI_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_BPFI_03.tdms",C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\acoustic\0Nm_BPFI_03.mat
0,BPFI,10,2,True,0Nm_BPFI_10,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_BPFI_10.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_BPFI_10.tdms",C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\acoustic\0Nm_BPFI_10.mat
0,BPFI,30,3,True,0Nm_BPFI_30,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_BPFI_30.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_BPFI_30.tdms",
0,BPFO,03,1,True,0Nm_BPFO_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_BPFO_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_BPFO_03.tdms",C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\acoustic\0Nm_BPFO_03.mat
0,BPFO,10,2,True,0Nm_BPFO_10,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_BPFO_10.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_BPFO_10.tdms",C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\acoustic\0Nm_BPFO_10.mat
0,BPFO,30,3,True,0Nm_BPFO_30,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_BPFO_30.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_BPFO_30.tdms",
0,Misalign,01,1,True,0Nm_Misalign_01,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Misalign_01.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Misalign_01.tdms",
0,Misalign,03,2,True,0Nm_Misalign_03,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Misalign_03.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Misalign_03.tdms",
0,Misalign,05,3,True,0Nm_Misalign_05,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Misalign_05.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Misalign_05.tdms",
0,Normal,,0,False,0Nm_Normal,C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\vibration\0Nm_Normal.mat,"C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\current,temp\0Nm_Normal.tdms",C:\Users\吳宗韓\dark_song\acoustic_temp_vibration\acoustic\0Nm_Normal.mat
