condition_raw,condition,profile,file_id,severity_level
ball,Ball,0,ball_0,1
ball,Ball,1,ball_1,1
ball,Ball,2,ball_2,1
ball,Ball,3,ball_3,1
ball,Ball,4,ball_4,1
ball,Ball,5,ball_5,1
ball,Ball,6,ball_6,1
inner,BPFI,0,inner_0,1
inner,BPFI,1,inner_1,1
inner,BPFI,2,inner_2,1
inner,BPFI,3,inner_3,1
inner,BPFI,4,inner_4,1
inner,BPFI,5,inner_5,1
inner,BPFI,6,inner_6,1
normal,Normal,0,normal_0,0
normal,Normal,1,normal_1,0
normal,Normal,2,normal_2,0
normal,Normal,3,normal_3,0
normal,Normal,4,normal_4,0
normal,Normal,5,normal_5,0
normal,Normal,6,normal_6,0
outer,BPFO,0,outer_0,1
outer,BPFO,1,outer_1,1
outer,BPFO,2,outer_2,1
outer,BPFO,3,outer_3,1
outer,BPFO,4,outer_4,1
outer,BPFO,5,outer_5,1
outer,BPFO,6,outer_6,1
