feature,importance
ch2_skewness,0.13659
ch1_band_energy_high,0.12608
ch3_band_energy_high,0.11271
ch3_dominant_freq,0.10036
ch2_dominant_freq,0.0979
ch3_rms,0.05856
ch2_rms,0.05795
ch1_peak,0.04547
ch1_rms,0.04408
ch0_rms,0.03504
ch1_dominant_freq,0.02599
ch3_kurtosis,0.01801
ch2_kurtosis,0.0172
ch2_band_energy_high,0.01104
ch1_kurtosis,0.01039
ch1_band_energy_mid,0.00938
ch0_kurtosis,0.00927
ch2_band_energy_mid,0.00912
ch3_band_energy_mid,0.0089
ch0_crest_factor,0.00881
cur_current_rms,0.00827
ch0_skewness,0.00805
ch0_dominant_freq,0.00695
ch0_band_energy_high,0.00594
ch1_skewness,0.00507
ch1_band_energy_low,0.00461
ch0_band_energy_mid,0.00329
ch0_peak,0.00329
ch0_band_energy_low,0.00191
cur_current_kurtosis,0.00143
