feature,importance
ch0_env_BPFO_sb_ratio,0.11364
ch1_env_BPFI,0.11081
ch0_env_BPFI,0.07283
ch1_order_3x,0.04902
ch1_env_BPFO,0.0468
ch3_env_BPFO_sb_ratio,0.04502
ch0_env_BPFO,0.04487
ch1_env_BPFI_sb_ratio,0.03908
ch3_order_1x,0.03838
ch1_env_BPFI_sb,0.0357
ch0_order_1x_dominance,0.03534
ch3_order_3x_abs,0.03459
ch3_env_BPFI,0.03351
ch2_env_BPFO,0.03305
ch2_env_BPFI,0.03119
ch0_order_1x,0.02575
ch3_env_BPFO,0.02286
ch3_kurtosis,0.02012
ch3_shape_factor,0.01779
ch2_kurtosis,0.01599
ch3_bandfrac_1000_3000,0.01279
ch0_order_1x_abs,0.00942
ch0_ratio_2x_1x,0.00887
ch0_spec_flatness,0.00853
ch2_shape_factor,0.00805
ch3_bandfrac_10_50,0.00729
ch0_order_3x,0.00622
ch0_kurtosis,0.00617
ch3_spec_entropy,0.00545
ch0_bandfrac_10_50,0.00517
