feature,importance
ch1_band_energy_high,0.13649
ch2_dominant_freq,0.13116
ch3_dominant_freq,0.13107
ch3_band_energy_high,0.10782
ch2_skewness,0.09354
ch3_rms,0.06355
ch1_rms,0.04578
ch1_peak,0.0397
ch2_rms,0.03657
ch2_kurtosis,0.03287
ch0_rms,0.03024
ch1_dominant_freq,0.02815
ch3_kurtosis,0.01789
ch0_skewness,0.01315
ch1_kurtosis,0.01163
ch0_band_energy_high,0.01146
ch1_band_energy_mid,0.01124
ch2_band_energy_high,0.01026
ch0_crest_factor,0.00705
ch1_band_energy_low,0.00544
ch2_band_energy_mid,0.00467
ch3_band_energy_mid,0.00459
ch1_skewness,0.00404
ch0_band_energy_mid,0.00391
ch0_kurtosis,0.00381
ch0_dominant_freq,0.00344
ch0_band_energy_low,0.00243
ch0_peak,0.00222
ch3_skewness,0.00147
ch1_crest_factor,0.00097
