feature,importance
ch3_env_BPFO_sb_ratio,0.15006
ch0_env_BPFI,0.08154
ch0_env_BPFO_sb_ratio,0.07072
ch1_env_BPFI,0.0664
ch1_env_BPFI_sb,0.05062
ch1_env_BPFO,0.04928
ch1_order_3x,0.04546
ch0_env_BPFO,0.04267
ch0_order_1x_dominance,0.03845
ch3_order_1x,0.03566
ch2_env_BPFI,0.0341
ch2_env_BPFO,0.03362
ch1_env_BPFI_sb_ratio,0.03188
ch3_env_BPFI,0.03128
ch3_order_3x_abs,0.02465
ch3_kurtosis,0.02337
ch3_shape_factor,0.02208
ch3_env_BPFO,0.01902
ch0_order_1x,0.01403
ch2_kurtosis,0.01321
ch0_ratio_2x_1x,0.01143
ch3_env_cv,0.0102
ch0_spec_flatness,0.00841
ch3_bandfrac_10_50,0.00764
ch3_bandfrac_1000_3000,0.00711
ch0_order_3x,0.00691
ch0_order_1x_abs,0.00628
ch0_kurtosis,0.00615
ch2_shape_factor,0.00579
ch3_spec_entropy,0.0038
