feature,importance
ch2_skewness,0.20593
ch3_band_energy_high,0.16911
ch1_dominant_freq,0.13597
ch1_band_energy_high,0.12717
ch1_peak,0.04986
ch0_band_energy_high,0.04407
ch2_kurtosis,0.02954
ch0_band_energy_mid,0.02746
ch3_kurtosis,0.02268
ch0_kurtosis,0.02208
ch3_band_energy_mid,0.0217
ch1_band_energy_mid,0.02165
ch1_kurtosis,0.02025
ch2_band_energy_mid,0.01414
ch0_peak,0.01342
ch2_dominant_freq,0.01151
ch3_dominant_freq,0.01109
ch0_crest_factor,0.00738
ch0_band_energy_low,0.00508
ch2_band_energy_high,0.00433
ch1_skewness,0.0041
ch1_band_energy_low,0.00395
ch3_band_energy_low,0.00314
ch0_skewness,0.00262
ch0_dominant_freq,0.00249
ch3_peak,0.0022
ch2_peak,0.00196
cur_current_kurtosis,0.00189
ch3_crest_factor,0.00177
ch1_crest_factor,0.00169
