feature,importance
ch1_env_BPFI,0.08957
ch1_order_3x,0.07195
ch3_env_BPFI,0.07001
ch2_skewness,0.06933
ch0_env_BPFO_h2,0.06223
ch0_env_BPFO,0.06053
ch2_env_BPFO,0.05648
ch0_env_BPFO_sb_ratio,0.0486
ch3_order_1x_dominance,0.04348
ch0_order_1x_dominance,0.04
ch1_env_cv,0.03949
ch3_order_1x,0.03633
ch0_order_3x,0.03384
ch1_env_BPFI_sb_ratio,0.03183
ch3_env_BPFO_sb_ratio,0.03032
rms_ratio_02,0.028
ch3_env_BPFO,0.02731
ch0_env_BPFI,0.02344
ch1_env_BPFO,0.01861
ch0_ratio_3x_1x,0.01509
ch0_spec_flatness,0.01426
ch3_kurtosis,0.01231
ch3_bandfrac_10_50,0.00749
ch3_spec_entropy,0.00685
ch2_bandfrac_8000_12800,0.0067
ch0_bandfrac_50_150,0.00603
ch0_order_1x,0.00569
ch0_bandfrac_3000_8000,0.00506
ch0_ratio_2x_1x,0.00468
ch3_shape_factor,0.00406
