feature,importance
ch2_skewness,0.20021
ch1_dominant_freq,0.16375
ch3_band_energy_high,0.13911
ch1_band_energy_high,0.12869
ch0_band_energy_high,0.05416
ch0_band_energy_mid,0.04689
ch2_dominant_freq,0.04084
ch1_peak,0.0351
ch3_kurtosis,0.02708
ch1_band_energy_mid,0.02229
ch2_kurtosis,0.02007
ch3_dominant_freq,0.01784
ch0_peak,0.01776
ch1_kurtosis,0.01654
ch0_kurtosis,0.01418
ch0_crest_factor,0.00724
ch3_band_energy_mid,0.0068
ch2_band_energy_mid,0.00629
ch2_band_energy_high,0.00605
ch1_skewness,0.00396
ch0_dominant_freq,0.00338
ch0_band_energy_low,0.00338
ch3_band_energy_low,0.00331
ch0_skewness,0.0032
ch1_band_energy_low,0.00311
ch2_peak,0.00162
ch3_skewness,0.00139
ch3_peak,0.00137
ch1_crest_factor,0.00124
ch3_crest_factor,0.00108
