feature,importance
ch1_env_BPFI,0.08804
ch1_order_3x,0.07345
ch2_skewness,0.07149
ch3_env_BPFI,0.06606
ch0_env_BPFO_h2,0.05968
ch0_env_BPFO,0.05833
ch0_env_BPFO_sb_ratio,0.05031
ch3_order_1x_dominance,0.04438
ch2_env_BPFO,0.04346
ch1_env_cv,0.04243
ch0_order_1x_dominance,0.04085
rms_ratio_02,0.03923
ch3_order_1x,0.03721
ch0_order_3x,0.03462
ch3_env_BPFO,0.03295
ch1_env_BPFI_sb_ratio,0.03263
ch1_env_BPFO,0.02836
ch0_env_BPFI,0.02326
ch3_env_BPFO_sb_ratio,0.02325
ch3_kurtosis,0.01081
ch3_shape_factor,0.00924
ch3_spec_entropy,0.00867
ch0_ratio_3x_1x,0.00774
ch3_bandfrac_10_50,0.00726
ch0_bandfrac_50_150,0.00725
ch0_spec_flatness,0.00725
ch2_bandfrac_8000_12800,0.0068
ch0_order_1x,0.00624
ch0_bandfrac_10_50,0.0057
ch0_ratio_2x_1x,0.00521
