feature,importance
ch3_band_energy_high,0.33804
ch3_rms,0.10458
ch3_dominant_freq,0.09422
ch3_kurtosis,0.0605
ch1_kurtosis,0.05702
ch1_dominant_freq,0.04487
cur_current_rms,0.04406
ch1_band_energy_mid,0.02844
ch1_band_energy_high,0.02686
ch0_band_energy_high,0.02331
ch2_band_energy_mid,0.02041
ch0_kurtosis,0.01728
ch2_band_energy_high,0.01288
ch2_rms,0.01278
ch2_skewness,0.01252
ch0_band_energy_mid,0.01117
ch1_rms,0.00837
ch0_band_energy_low,0.00832
ch0_rms,0.00686
ch1_peak,0.00667
ch0_skewness,0.00506
cur_current_kurtosis,0.00497
ch1_skewness,0.00494
ch0_crest_factor,0.0037
cur_current_harmonic_energy,0.00351
ch3_peak,0.00345
ch3_skewness,0.00313
ch2_peak,0.00302
ch1_crest_factor,0.00281
ch0_dominant_freq,0.00268
