feature,importance
ch3_order_1x_dominance,0.42114
ch3_order_1x,0.19623
ch0_order_1x_abs,0.05999
ch3_spec_entropy,0.04073
ch0_ratio_2x_1x,0.03722
ch0_harmonic_sum_ratio,0.03356
ch1_bandfrac_8000_12800,0.02754
ch2_order_1x_dominance,0.02435
ch3_bandfrac_10_50,0.02244
ch1_kurtosis,0.01546
ch0_bandfrac_1000_3000,0.01441
ch1_shape_factor,0.0143
ch0_kurtosis,0.01327
ch0_shape_factor,0.01135
ch0_order_2x_abs,0.01004
ch0_spec_centroid,0.00833
ch0_bandfrac_10_50,0.00602
ch3_rms,0.00511
ch2_bandfrac_400_1000,0.00487
ch2_bandfrac_10_50,0.00391
ch0_order_1x_dominance,0.00391
ch2_order_1x_abs,0.00256
ch2_order_1x,0.00246
ch0_spec_entropy,0.00195
ch1_env_cv,0.00191
ch3_shape_factor,0.00189
ch3_bandfrac_1000_3000,0.00188
ch1_spec_entropy,0.00175
ch3_kurtosis,0.00123
ch1_ratio_2x_1x,0.00115
