feature,importance
ch3_band_energy_high,0.27298
ch3_rms,0.14478
ch3_dominant_freq,0.10039
ch2_dominant_freq,0.08306
ch1_kurtosis,0.06557
ch3_kurtosis,0.05179
ch1_dominant_freq,0.03094
ch1_band_energy_high,0.03017
ch1_band_energy_mid,0.02746
ch0_band_energy_high,0.02622
ch2_band_energy_mid,0.02193
ch0_kurtosis,0.01916
ch2_rms,0.01277
ch1_rms,0.01108
ch2_band_energy_high,0.01106
ch2_skewness,0.01057
ch0_rms,0.00894
ch0_band_energy_mid,0.00864
ch0_band_energy_low,0.00684
ch0_dominant_freq,0.00656
ch0_skewness,0.00496
ch1_skewness,0.00471
ch0_peak,0.00424
ch3_band_energy_mid,0.00422
ch3_skewness,0.00358
ch0_crest_factor,0.00333
ch1_crest_factor,0.0032
ch2_kurtosis,0.00283
ch2_band_energy_low,0.00278
ch2_crest_factor,0.00269
