feature,importance
ch3_order_1x,0.29077
ch3_order_1x_dominance,0.28197
ch0_ratio_2x_1x,0.06893
ch0_order_1x_abs,0.06556
ch3_spec_entropy,0.06513
ch1_bandfrac_8000_12800,0.03527
ch0_harmonic_sum_ratio,0.02215
ch1_shape_factor,0.01998
ch0_bandfrac_1000_3000,0.01909
ch0_shape_factor,0.01882
ch0_kurtosis,0.01807
ch3_bandfrac_10_50,0.01749
ch0_order_2x_abs,0.01388
ch1_kurtosis,0.00913
ch0_rms,0.00731
ch0_spec_centroid,0.00728
ch2_order_1x,0.00668
ch2_bandfrac_400_1000,0.00525
ch1_order_3x,0.00334
ch1_env_cv,0.00249
ch2_bandfrac_10_50,0.00222
ch0_order_1x_dominance,0.00191
ch1_ratio_2x_1x,0.0015
rms_ratio_02,0.00149
ch0_spec_flatness,0.00139
ch3_bandfrac_1000_3000,0.00137
ch0_impulse_factor,0.0013
ch0_env_BPFO_sb,0.00116
ch3_bandfrac_8000_12800,0.00109
ch2_order_1x_abs,0.001
