held_out_load,file_id,truth,predicted,correct,gate,gate_overrode,level,agreement,n_windows,check_physical,check_cross_sensor,check_stability,check_no_confusion
0,0Nm_BPFI_03,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
0,0Nm_BPFI_10,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
0,0Nm_BPFI_30,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
0,0Nm_BPFO_03,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
0,0Nm_BPFO_10,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
0,0Nm_BPFO_30,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
0,0Nm_Misalign_01,Misalign,Unbalance,0,mild,,低,0.8439,237,0,—,0,0
0,0Nm_Misalign_03,Misalign,Misalign,1,clear,,中,1.0,237,1,—,1,0
0,0Nm_Misalign_05,Misalign,Misalign,1,clear,,中,1.0,237,1,—,1,0
0,0Nm_Normal,Normal,Normal,1,quiet,Unbalance,中,0.9983,597,—,—,1,1
0,0Nm_Unbalance_0583mg,Unbalance,Unbalance,1,mild,,低,1.0,237,0,—,1,0
0,0Nm_Unbalance_1169mg,Unbalance,Unbalance,1,mild,,低,1.0,237,0,—,1,0
0,0Nm_Unbalance_1751mg,Unbalance,Unbalance,1,clear,,低,1.0,237,0,—,1,0
0,0Nm_Unbalance_2239mg,Unbalance,Unbalance,1,clear,,低,1.0,237,0,—,1,0
0,0Nm_Unbalance_3318mg,Unbalance,Unbalance,1,clear,,中,1.0,237,1,—,1,0
2,2Nm_BPFI_03,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
2,2Nm_BPFI_10,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
2,2Nm_BPFI_30,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
2,2Nm_BPFO_03,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
2,2Nm_BPFO_10,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
2,2Nm_BPFO_30,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
2,2Nm_Misalign_01,Misalign,Misalign,1,mild,,低,1.0,237,0,—,1,0
2,2Nm_Misalign_03,Misalign,Misalign,1,clear,,中,1.0,237,1,—,1,0
2,2Nm_Misalign_05,Misalign,Misalign,1,clear,,中,1.0,237,1,—,1,0
2,2Nm_Normal,Normal,Normal,1,quiet,Misalign,中,1.0,237,—,—,1,1
2,2Nm_Unbalalnce_0583mg,Unbalance,Misalign,0,mild,,低,0.8945,237,0,—,0,0
2,2Nm_Unbalalnce_1169mg,Unbalance,Unbalance,1,mild,,低,1.0,237,0,—,1,0
2,2Nm_Unbalalnce_1751mg,Unbalance,Unbalance,1,clear,,低,1.0,237,0,—,1,0
2,2Nm_Unbalalnce_2239mg,Unbalance,Unbalance,1,clear,,低,1.0,237,0,—,1,0
2,2Nm_Unbalalnce_3318mg,Unbalance,Unbalance,1,clear,,中,1.0,237,1,—,1,0
4,4Nm_BPFI_03,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
4,4Nm_BPFI_10,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
4,4Nm_BPFI_30,BPFI,BPFI,1,clear,,高,1.0,117,1,—,1,1
4,4Nm_BPFO_03,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
4,4Nm_BPFO_10,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
4,4Nm_BPFO_30,BPFO,BPFO,1,clear,,高,1.0,117,1,—,1,1
4,4Nm_Misalign_01,Misalign,Misalign,1,mild,,低,0.7637,237,0,—,0,0
4,4Nm_Misalign_03,Misalign,Misalign,1,clear,,中,1.0,237,1,—,1,0
4,4Nm_Misalign_05,Misalign,Misalign,1,clear,,中,1.0,237,1,—,1,0
4,4Nm_Normal,Normal,Normal,1,quiet,,高,0.9367,237,1,—,1,1
4,4Nm_Unbalance_0583mg,Unbalance,Normal,0,quiet,Misalign,中,0.962,237,—,—,1,1
4,4Nm_Unbalance_1169mg,Unbalance,Unbalance,1,mild,,低,0.8186,237,0,—,0,0
4,4Nm_Unbalance_1751mg,Unbalance,Unbalance,1,mild,,低,1.0,237,0,—,1,0
4,4Nm_Unbalance_2239mg,Unbalance,Unbalance,1,mild,,低,1.0,237,0,—,1,0
4,4Nm_Unbalance_3318mg,Unbalance,Unbalance,1,clear,,中,1.0,237,1,—,1,0
