實驗,情境,模式,保留通道,含電流,特徵數,test準確率,macro_F1,SNR_dB,測試筆數
G_感測器缺失,全部感測器（對照組）,重新訓練,ch0+ch1+ch2+ch3,是,154,0.8868,0.9154,,
G_感測器缺失,全部感測器（對照組）,推論時掉線,ch0+ch1+ch2+ch3,是,154,0.8868,0.9154,,
G_感測器缺失,只有 Housing A（近端軸承座）,重新訓練,ch0+ch1,否,75,0.8328,0.8092,,
G_感測器缺失,只有 Housing A（近端軸承座）,推論時掉線,ch0+ch1,否,154,0.8205,0.7211,,
G_感測器缺失,只有 Housing B（遠端軸承座）,重新訓練,ch2+ch3,否,75,0.6296,0.6827,,
G_感測器缺失,只有 Housing B（遠端軸承座）,推論時掉線,ch2+ch3,否,154,0.4804,0.5731,,
G_感測器缺失,只有 X 軸（兩座各一顆）,重新訓練,ch0+ch2,否,75,0.7711,0.701,,
G_感測器缺失,只有 X 軸（兩座各一顆）,推論時掉線,ch0+ch2,否,154,0.7446,0.6737,,
G_感測器缺失,只有 Y 軸（兩座各一顆）,重新訓練,ch1+ch3,否,75,0.63,0.6845,,
G_感測器缺失,只有 Y 軸（兩座各一顆）,推論時掉線,ch1+ch3,否,154,0.5506,0.6046,,
G_感測器缺失,只剩單顆 ch0,重新訓練,ch0,否,39,0.7467,0.7216,,
G_感測器缺失,只剩單顆 ch0,推論時掉線,ch0,否,154,0.7474,0.6748,,
G_感測器缺失,振動全失效，只剩電流,重新訓練,（無振動）,是,10,0.3058,0.3955,,
H_雜訊,乾淨（對照組）,,,,147,0.8878,0.9173,∞,2835.0
H_雜訊,SNR 20 dB,,,,147,0.7637,0.7787,20,2835.0
H_雜訊,SNR 10 dB,,,,147,0.5298,0.5266,10,2835.0
H_雜訊,SNR 5 dB,,,,147,0.4025,0.2091,5,2835.0
H_雜訊,SNR 0 dB,,,,147,0.3295,0.1528,0,2835.0
