file_id,溫度channel數,溫度有資料,電流channel數,電流有資料,最長長度,秒數,電流各相長度
0Nm_BPFI_03,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
0Nm_BPFI_10,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
0Nm_BPFI_30,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
0Nm_BPFO_03,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
0Nm_BPFO_10,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
0Nm_BPFO_30,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
0Nm_Misalign_01,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
0Nm_Misalign_03,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
0Nm_Misalign_05,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
0Nm_Normal,2,2,3,3,7682458,300.0,"[7682458, 7682458, 7682458]"
0Nm_Unbalance_0583mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
0Nm_Unbalance_1169mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
0Nm_Unbalance_1751mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
0Nm_Unbalance_2239mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
0Nm_Unbalance_3318mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_BPFI_03,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
2Nm_BPFI_10,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
2Nm_BPFI_30,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
2Nm_BPFO_03,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
2Nm_BPFO_10,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
2Nm_BPFO_30,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
2Nm_Misalign_01,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_Misalign_03,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_Misalign_05,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_Normal,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_Unbalance_0583mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_Unbalance_1169mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_Unbalance_1751mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_Unbalance_2239mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
2Nm_Unbalance_3318mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_BPFI_03,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
4Nm_BPFI_10,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
4Nm_BPFI_30,2,2,3,3,1536492,60.0,"[1536492, 1536492, 1536492]"
4Nm_BPFO_03,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
4Nm_BPFO_10,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
4Nm_BPFO_30,2,2,3,1,1536492,60.0,"[1536492, 0, 0]"
4Nm_Misalign_01,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_Misalign_03,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_Misalign_05,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_Normal,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_Unbalance_0583mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_Unbalance_1169mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_Unbalance_1751mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_Unbalance_2239mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
4Nm_Unbalance_3318mg,2,2,3,3,3072983,120.0,"[3072983, 3072983, 3072983]"
